,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:technical,Parent gesture:point at prop,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:positive feedback,robot text:put down,robot text:pick up,robot text:try again,start-end:start,start-end:end,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC
Child utterance:utterance,"[1, 1.0]","[3, 0.026737021956807914]","[2, 0.019386417391504387]","[4, 0.000719789705169396]","[5, 0.023704959498060372]","[1, 1.0]","[2, 0.01619817058981683]","[2, 0.057102156546034934]","[1, 1.0]","[1, 1.0]","[3, 0.06027180113852812]","[5, 0.9999783798534271]","[1, 0.039903916099293536]","[4, 0.004630245119818111]","[4, 0.1978287867193687]","[5, 0.9999811258133604]","[1, 1.0]","[4, 0.4014670633494337]","[5, 0.006679772932837783]","[5, 0.035615829531116514]","[5, 0.16134427785541786]","[5, 0.970925143832538]","[1, 1.0]","[1, 1.0]","[5, 2.7563718119569656e-11]","[2, 9.897212502412123e-12]","[5, 0.9942693567472775]","[2, 0.35348229168460504]"
Child gaze:tablet,"[1, 3.5634899469134447e-07]","[1, 1.0]","[3, 2.044300705679126e-34]","[4, 7.348554414348758e-07]","[3, 2.8276628614880843e-10]","[1, 0.012697191760145141]","[3, 0.009491407898490189]","[3, 0.029686803373398362]","[1, 1.0]","[1, 1.0]","[4, 0.4373256351528769]","[4, 0.9990924984741844]","[2, 0.9907860374948892]","[4, 0.6780696698749614]","[3, 0.008203072481110059]","[2, 0.3096414901242468]","[1, 1.0]","[5, 0.000613534916884912]","[1, 0.39274022781588547]","[1, 0.2265853082712618]","[5, 0.3997834660995578]","[5, 0.5540896797803699]","[1, 0.658797983916575]","[1, 1.0]","[5, 0.8444493659626647]","[5, 0.0013355193162812255]","[5, 0.23482721406413484]","[1, 0.0012985932760488387]"
Child gaze:parent,"[2, 5.861197095277088e-05]","[2, 5.132402795974868e-28]","[1, 1.0]","[1, 2.2610310935858566e-11]","[5, 4.57831646863221e-07]","[1, 8.80364985891059e-08]","[2, 1.596755684753913e-05]","[2, 4.23484351449776e-06]","[1, 1.0]","[1, 1.0]","[3, 0.19339409660374732]","[4, 0.9968101400880774]","[2, 0.7701788982594238]","[3, 0.2419865929835182]","[2, 0.021768070062101366]","[5, 0.021513909291353144]","[1, 1.0]","[1, 0.031173971517332682]","[1, 0.3196315700111695]","[4, 0.3665636518825938]","[4, 0.2579756573061701]","[2, 0.965425099316932]","[1, 1.0]","[1, 1.0]","[4, 0.9984183202263319]","[5, 0.016541665629083886]","[4, 0.9970130923079954]","[2, 0.000827085287295912]"
Child affect:positive 2,"[5, 6.082334659671528e-05]","[3, 0.026120393455414063]","[4, 0.5030494653247317]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.22089908794303545]","[1, 0.18248098355076356]","[1, 1.0]","[1, 1.0]","[5, 5.8897269733600585e-06]","[1, 1.0]","[1, 1.0]","[5, 1.905939031846204e-08]","[3, 0.028315830635125508]","[5, 6.261239183639788e-07]","[1, 1.0]","[3, 0.00803990928858116]","[3, 0.018514078532061797]","[1, 1.0]","[1, 1.0]","[5, 0.823327386679898]","[1, 1.0]","[1, 1.0]","[5, 8.968591432200505e-05]","[5, 0.000138590445422334]","[5, 0.9570383365335835]","[1, 3.7391645185338175e-18]"
Child affect:positive 1,"[2, 0.043992915898155543]","[3, 4.411164355705458e-07]","[5, 0.0004450187625994362]","[1, 1.0]","[1, 1.0]","[4, 0.1841947564378162]","[2, 0.0024053578109221084]","[2, 0.002603947481472438]","[1, 1.0]","[5, 0.17085008617901803]","[1, 1.0]","[1, 1.0]","[4, 0.9082872263092431]","[1, 1.0]","[1, 0.006247553856901814]","[1, 1.0]","[1, 1.0]","[3, 0.011910091413497642]","[5, 0.7735207297732262]","[4, 0.18865493998824118]","[3, 0.03796454722659857]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.19716272802080628]","[3, 0.18786550689614362]","[1, 1.0]","[1, 1.0]"
Child gesture:point at prop,"[1, 1.0]","[5, 0.004087394157620943]","[5, 1.3415748700972743e-08]","[1, 1.0]","[5, 6.3994349795763695e-06]","[1, 1.0]","[1, 0.0057335835301215885]","[1, 0.0010071734435859174]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9362171109120856]","[1, 0.015987978070346173]","[1, 1.0]","[3, 0.9114640155074345]","[1, 1.0]","[1, 1.0]","[5, 0.9955897452146208]","[1, 1.0]","[1, 1.0]","[4, 5.6899152480029365e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Parent utterance:utterance,"[4, 0.4759134941925739]","[3, 0.2828536350014885]","[2, 0.0006718052712716343]","[2, 0.24896126691289566]","[3, 0.003035680357937895]","[2, 0.01518749596859347]","[1, 1.0]","[3, 0.43915910825257676]","[4, 0.008582949723469546]","[2, 0.6133421840148694]","[1, 0.03247958682953567]","[1, 0.21175708925138995]","[2, 0.268794752175189]","[3, 0.04584431440389534]","[4, 0.0002267538380182275]","[2, 0.5701466106326406]","[1, 1.0]","[5, 0.0011638800279245092]","[1, 0.0013982403794308214]","[5, 0.29707617666093206]","[5, 0.05226452869874887]","[1, 0.16735787749279707]","[4, 0.9999999999999893]","[1, 1.0]","[2, 0.20523991392847213]","[5, 0.0004719289728163688]","[4, 0.15584533721883775]","[4, 0.02761844407510254]"
Verbal scaffolding:cognitive,"[1, 0.03306372925240729]","[3, 0.23474918349236254]","[5, 0.0032716044148583248]","[1, 0.18190413210469328]","[5, 0.00038469560317809314]","[5, 0.002079679893042615]","[1, 0.5479822408343905]","[1, 1.0]","[5, 0.056183322071400345]","[1, 0.2768809079761271]","[1, 0.2477792309917775]","[1, 0.17905469601445262]","[2, 0.041376554816755756]","[3, 0.015236393765493683]","[4, 0.0003260425162659789]","[4, 0.915998387669055]","[1, 1.0]","[4, 0.0002693871270737792]","[1, 0.21656944624386348]","[5, 0.07614126500545458]","[5, 0.03593068901204226]","[1, 0.1018796340055112]","[1, 1.0]","[1, 1.0]","[2, 0.20503648061709612]","[5, 0.01716587327903403]","[1, 0.7624665660755141]","[4, 0.0035479916571809255]"
Verbal scaffolding:technical,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.007057609801751434]","[5, 0.0005707121934940588]","[1, 1.0]","[1, 1.0]","[4, 9.392803459691611e-73]","[1, 1.0]","[1, 1.0]","[4, 0.11014945168365697]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.00014130464510876974]","[5, 2.0258957662039372e-20]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Verbal scaffolding:affective,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.8572151807104014]","[3, 0.782541356974583]","[1, 1.0]","[2, 0.9999999999999222]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.14403754119057666]","[1, 1.0]","[1, 1.0]","[2, 0.3106904677227969]","[4, 0.003914493022203723]","[1, 0.805991247066193]","[1, 0.07198666076915673]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
